"","var","cvar"
"1",411.464471666958,411.464471666958
"2",82.0349843120252,493.499455978983
"3",55.9323207492464,549.43177672823
"4",49.857990596163,599.289767324393
"5",41.1902426021453,640.480009926538
"6",34.1188150300874,674.598824956625
"7",30.1935138430353,704.792338799661
"8",26.1682097656881,730.960548565349
"9",23.7072537138742,754.667802279223
"10",19.9405361067103,774.608338385933
"11",18.0284978926233,792.636836278557
"12",16.4140292748391,809.050865553396
"13",14.8967575984584,823.947623151854
"14",13.2523768481462,837.2
"15",1.15105072981897e-26,837.2
