"","years_obs","rmse_cv","number of obs"
"1",2000,NA,5
"2",2001,2.74957520651499,13
"3",2004,3.07198182805882,71
"4",2005,4.91488160840077,17
"5",2006,5.21787324908223,25
"6",2007,2.87873359733966,231
"7",2008,4.15865237578757,68
"8",2009,2.88162619123524,138
"9",2012,2.81785957502442,84
"10",2014,4.16128594153768,90
"11",2015,4.26093628658466,37
"12",2016,3.14735043626796,28
"13",2017,2.42860479530151,77
