"","EOF1","EOF2","EOF3","EOF4","EOF5","EOF6","EOF7","EOF8","EOF9","EOF10","EOF11","EOF12","EOF13","EOF14","EOF15"
"1",-0.0350960341416507,0.0517701999181152,0.00590392420004897,-0.00407181408972859,-0.0177817865531494,-0.0048545169212145,0.0223438800169051,-0.0620166925896025,0.00128576441428961,0.0339029329800187,-0.0301107274823447,-0.00733560008475885,0.0166712878539672,-0.0475802707689112,-0.0842637131037736
"2",-0.0419656520743092,0.0386033132038176,-0.00120388444059152,-0.0131128575144731,-0.00317355668232712,0.00951767032975954,0.0175041386895291,-0.0296874762790705,0.0042408035558093,0.0330278687278978,-0.0131164526098739,0.00383445295315897,0.0291324024932065,-0.0169530748579771,0.00597339520445432
"3",-0.0437911096201459,0.0216318954671224,-0.0133179896586478,0.0119290253254484,0.0288538138612588,0.00519771179493526,-0.00357320086216316,0.00063494802232771,-0.0141056031332197,-0.0300018775828826,0.00641547358316794,0.0117963004759136,0.00739454775484203,-0.0449396890341296,0.0234593034412912
"4",-0.0401667865830521,0.0172966752077516,-0.0448267887578833,-0.00336914419279551,0.0156191979464442,0.0325806061817279,-0.0130959695655444,0.00186437771724838,-0.0226465191888801,-0.0456814338371932,-0.0101477195402715,-0.00710470154161867,0.0124501222451002,-0.040453775236182,-0.04619742674086
"5",-0.0308871428622312,0.0136742123192312,-0.0229048178920588,0.00556367680296238,0.0265215830907927,0.0728365526366634,-0.0132379972308114,0.0452042516043874,-0.00906524591914293,-0.0420158358609744,-0.0908549239264375,-0.00939717601083956,0.0141511130572104,-0.0516982374967113,-0.0919636809553704
"6",-0.0268483565530692,0.0136779404030677,-0.00585026659066255,0.00237317067700481,-0.02315027820256,0.0750521390208588,0.00793159195670654,0.0573036795248728,-0.0446443913081844,0.00561608802033785,-0.0777844725120893,0.0146904392858262,-0.0397226317659901,-0.100215622815126,-0.141680560008698
"7",-0.0259981574049483,0.0290581437464375,0.0100726923995766,-0.00761823339893937,-0.0112514515695597,0.0489239414731285,0.0392658717755068,0.0778338675910464,-0.00541793501731473,-0.0192220512568406,-0.0898333332641723,0.0296304524350732,0.0431284394415064,-0.0822943136458067,0.163517225330542
"8",-0.0211753442119741,0.0479438873352545,0.00754803661695307,0.0306910212614925,-0.00623699356965254,0.0282712474734364,0.0297122053215863,0.0716161603669758,-0.00638093205899479,-0.0488426157320212,-0.0830129170167911,-0.0165534985141456,0.055864522636827,-0.0853843448816261,-0.0197310945901367
"9",-0.022858583493457,0.00258879827977375,0.0104663121547513,0.0425978815228494,0.00218781558052753,0.0358756126990537,-0.0294070886272372,0.0448260990972287,-0.0408468243770183,-0.102554678549377,-0.0283250632277953,-0.0338640673483206,0.0750299017075462,-0.0997867238563831,0.0258319948611725
"10",-0.0100171074561115,0.00197497661647859,-0.0704577059524806,-0.0470682646717898,0.0307132614701452,-0.0565389278546769,0.00940892145776744,-0.0264589635820957,-0.0831172049668634,0.0774851170217854,0.0309826415736806,0.0404104808377544,-0.0217775598587408,0.00102461063632838,0.0721233404544867
"11",0.0176005624921535,0.0260831791960826,-0.0387404772096852,-0.0310638165815746,0.00775403816064979,-0.0348074446065659,0.0247011884492614,-0.0566871596254959,-0.0623861901995806,0.0452797493407496,0.0824207167298725,0.113419793383545,-0.00628571019283153,-0.0180435331663961,0.0267484956494505
"12",0.0173179213475952,0.044678430731723,-0.0168249609433603,-0.042164102369954,-0.000855106903889532,-0.0295448493574649,0.0386443685662486,-0.0751800614026948,-0.0440494397587897,-0.0211486240199591,0.0646307524723256,0.0997904165147504,-0.00851159984298299,-0.0426786200892906,-0.0258564057641131
