"","Grid_lat","Grid_lon","2000","2001","2004","2005","2006","2007","2008","2009","2012","2014","2015","2016","2017"
"44",5.75,121.75,369.95,421.62,379.28,375.37,385.79,400.49,358.66,381.8,390.55,415.55,411.25,383.6,431.46
"45",6.25,109.25,384.8,413.38,391.86,414.16,415.09,402.65,381.26,397.58,400.88,406.15,417.63,411.18,425.34
"46",6.25,109.75,383.76,404.22,392.66,437.18,426.43,398.1,380.34,396.79,403.91,401.71,423.58,416.46,424.12
"47",6.25,110.25,385.76,404.56,389.35,415.48,417.77,397.33,382.26,396.92,398.79,398.48,421.04,415.46,423.98
"48",6.25,110.75,372.96,407,400.66,425.11,415.35,398.19,382.51,396.58,407.89,400.28,421.02,434.89,416.89
"49",6.25,111.25,368.99,407.38,405.34,416.14,401.82,405,381.94,397.86,406.11,409.23,421.01,442.72,418.24
"50",6.25,111.75,391.16,414.03,407.45,421.68,409.8,410.44,393.69,405.36,410.29,409.88,418.28,438.3,416.8
"51",6.25,112.25,393.92,418.9,405.32,416.81,414.52,406.63,395.67,404.59,412.78,403.94,415.92,433.24,414.83
"52",6.25,112.75,393.45,412.52,403.2,405.9,408.52,402.01,392.31,401,412.47,400.12,422.67,427.25,413.31
"53",6.25,113.25,391.82,417.08,409.87,400.44,403.23,407.07,397.43,403.7,413.78,409.7,419.35,426.26,416.18
"54",6.25,113.75,401.47,415.79,410.61,402.12,403.83,405.28,399.23,403.19,417.47,408.5,422.64,418.07,413.44
"55",6.25,114.25,398.71,419.16,412.18,416.8,404.6,408.34,394.82,402.65,417.84,413.63,420.51,423.76,414.02
"56",6.25,114.75,407.85,416.01,411.06,422.37,415.57,409.84,399.92,407.42,418.15,414.15,427.12,414.05,419.5
"57",6.25,115.25,407.12,417.9,417.8,431.16,421.27,413.64,407.17,411.43,422.39,420.48,425.82,418.43,423.11
"58",6.25,115.75,388.68,424.63,418.62,467.04,440.63,412.73,401.53,405.7,429.96,428.09,417.17,423.63,432.1
"59",6.25,116.25,360.78,418.41,408.71,472.52,446.71,402.22,385.15,390.2,422.78,424.94,395.34,433.97,431
"60",6.25,117.75,412.25,422.53,420.05,450.87,406.81,425.2,392.38,407.42,429.64,431.26,435.74,452.43,425.23
"61",6.25,118.25,399.44,422.91,415.32,410.17,410.18,426.09,402.84,415.07,416.29,430.13,429.29,428.03,433.75
"62",6.25,118.75,395.75,410.33,401.93,391.19,395.85,408.7,386.42,400.12,407.05,417.96,433.16,403.99,428.11
"63",6.25,119.25,390.48,420.41,391.17,381.34,395.26,408.62,380.58,395.63,398.94,418.72,417.1,391.43,431.93
"64",6.25,119.75,393.11,427.79,389.26,374.32,397.95,412.53,387.65,399.92,395.26,418.43,405.72,395.36,433.76
"65",6.25,120.25,387.12,414.82,377.6,359.36,390.84,404.95,372.85,390.95,389.29,412.32,418.13,377.23,435.37
"66",6.25,120.75,368.9,415.78,328.37,308.65,381.75,372,334.5,356.87,363.45,383.5,397.75,313.42,436.73
"67",6.25,121.25,352.03,429.4,317.86,298.01,380.55,367.79,325.41,349.03,354.99,381.9,376.45,305.6,439.05
