"","Grid_lat","Grid_long","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"47",5.75,119.25,420.55,418.53,425.03,421.66,415.78,423.14,420.43,421.17,415.82,427.36,427.72,426.4,425.69,428.92,423.46
"48",5.75,119.75,414.92,421.24,422.41,417.29,409.61,422.22,418.97,418.51,415,422.88,428.89,418.5,420.27,427.32,418.08
"49",5.75,120.25,414.61,415.28,414.15,410.95,400.81,418.55,417.52,418.01,412.81,422.35,432,412.69,418.25,427.55,414.89
"50",5.75,120.75,407.74,403.7,414.47,396.3,388.92,411.23,410.51,412.42,414.36,414.63,428.24,403.47,419.51,421.75,405.96
"51",5.75,121.25,411.14,416.15,413.56,405.17,398.65,421.71,412.46,417.02,412.32,413.95,427.75,407.61,417.41,423.64,409.48
"52",5.75,121.75,410.67,421.56,415.42,419.9,407.93,423.89,420.42,421.92,416.73,417.68,428.02,414.42,420.18,422.86,416.14
"53",6.25,109.25,413.94,415.58,419.2,420.01,410.62,421.67,415.61,417.42,418.19,415.99,424.37,420.1,415.37,420.21,418.78
"54",6.25,109.75,415.11,413.52,419.25,421.12,409.98,420.81,412.07,417.26,419.28,417.54,422.78,419.55,415,416.29,419.39
"55",6.25,110.25,414.09,412.65,418.44,422.63,409.33,419.73,416.43,417.23,420.7,417.27,423.52,418.39,414.1,419.32,420.03
"56",6.25,110.75,410.93,412.31,418.01,421.4,415.3,420.91,416.82,416.91,421.22,416.98,422.82,419.45,414.61,415.76,421.18
"57",6.25,111.25,409.66,414.75,417.18,421.56,418.31,418.79,415.39,418.74,421.78,415.26,422.66,419.27,416.62,419.29,422.13
"58",6.25,111.75,414.83,416.87,419.48,420.64,419.84,418.91,416.16,419.53,421.48,416.82,423.57,418.7,416.52,419.47,421.33
"59",6.25,112.25,415.58,415.31,421.39,420.45,420.54,421.62,419.77,418.99,422.36,419.01,423.9,419.94,416.39,420.75,421.02
"60",6.25,112.75,416.1,413.03,420.97,420.95,420.43,421.94,420.92,419.89,422.02,418.11,424.95,421.6,418.09,420.62,420.68
"61",6.25,113.25,414.61,416.78,420.65,421.32,420.91,421.32,422.51,421.27,423.42,419.95,423.96,421.26,420.05,421.17,419.82
"62",6.25,113.75,417.49,417.31,420.42,421.95,421.25,422.42,422.94,421.17,423.5,418.75,423.13,421.25,421.56,421.5,418.58
"63",6.25,114.25,417.59,421.07,420.24,421.08,421.38,423.69,421.24,421.26,424.24,418.73,423.74,421.31,420,421.46,418.89
"64",6.25,114.75,420.54,420.13,420.18,420.68,419.86,424.09,421.07,420.96,424.05,421.01,424.04,421.95,421.7,422.8,421.52
"65",6.25,115.25,421.78,422.61,422.26,422.28,422.07,425.35,421.66,420.96,424.2,421.61,423.09,424.85,424.9,423.72,423.61
"66",6.25,115.75,424.88,427.59,426,427.01,427.01,430.32,423,417.04,423.62,428.39,420.98,428.45,430.33,428.09,427.3
"67",6.25,116.25,418.11,423.63,422.2,420.19,423.34,426.35,411.85,408.17,416.74,425.22,407.9,420.96,425.24,424.08,426.28
"68",6.25,116.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",6.25,117.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",6.25,117.75,437.97,435.87,434.51,431.8,442.48,435.14,426.64,434.95,430.93,430.07,437.65,437.17,434.36,438.92,434.34
"71",6.25,118.25,423.28,424.92,425.71,426.02,427.42,426.47,424.53,428.51,422.09,428.42,430.21,428.74,427.38,430.56,427.63
"72",6.25,118.75,419.43,420.72,420.92,422.69,417.64,423.9,423.61,427.15,423.87,425.28,429.32,425.19,423.89,426.14,420.85
"73",6.25,119.25,416.63,420.43,422.08,418.82,413.48,424.28,419.55,425.35,417.16,420.92,426.79,422.81,422.5,426.39,417.63
"74",6.25,119.75,415.73,421.05,422.75,419.29,413.09,422.34,421.13,422.88,415.53,418.81,427.3,420.52,421.41,426.55,418.66
"75",6.25,120.25,415.29,415.59,417.97,420.59,408.97,420.58,419.84,422.09,411.38,418.82,427.43,418.57,421.35,426.39,416.08
"76",6.25,120.75,407.16,401.59,416.53,405.57,394.71,413.98,413.96,415.94,408.01,419.72,426.99,406.6,421.19,426.17,406.27
"77",6.25,121.25,400.6,403.83,414.23,405.9,389.52,410.2,415.35,407.97,408.23,415.34,428.37,399.83,419.71,424.91,402.73
"78",6.25,121.75,399.83,404.74,402.73,392.61,380.4,402.45,403.8,401.88,406.83,402.77,427.54,398.23,407.89,420.15,385.48
"79",6.75,109.25,411.87,410.68,419.51,420.82,407.54,421,414.72,414.2,417.45,414.31,421.14,417.59,415.28,421.3,419.78
"80",6.75,109.75,412.79,413.07,416.7,420.63,408.34,420.47,414.29,416.59,419.71,414.34,421.4,417.02,413.09,418.14,420.35
